楼盘名,楼盘地址,所在地区,房子户型,房子面积,房子价格
金地香山湖,[ 增城 广园东 ] 新新大道15号,增城,3室/4室,建筑面积：99-140㎡,14500
中建|鄂旅投岭南悦府,[ 增城 永宁 ] 新耀北路与创盈路交汇处,增城,2室/3室/4室,建筑面积：65-108㎡,
世茂泰禾广州院子,[ 增城 荔城 ] 广州市增城区增江街原裕达隆国际学校旁,增城,别墅,建筑面积：124-130㎡,258
合景誉山国际,[ 增城 广园东 ] 新新大道中,增城,3室/4室,建筑面积：84-125.75㎡,18000
中国铁建国际公馆,[ 增城 中新 ] 广州市地铁21号线坑贝站A出口西侧,增城,4室,建筑面积：104-118㎡,20000
逸翠庄园,[ 增城 朱村 ] 增城大道292号,增城,别墅,建筑面积：279㎡,650
保利大国璟,[ 增城 荔城 ] 广州市增城区朱村广汕路沿线,增城,3室/4室,建筑面积：72-124㎡,21000
广州增城万科城,[ 增城 新塘 ] 新新大道北,增城,3室,建筑面积：79-96㎡,19000
合生湖山国际,[ 增城 新塘 ] 陈家林路,增城,2室/3室/4室,建筑面积：68-135㎡,19500
品秀星图,[ 增城 新塘 ] 广州地铁13号线官湖车辆段（官湖站B出...,增城,2室/3室/4室,建筑面积：78-134㎡,24000
叠溪花园,[ 增城 朱村 ] 朱石路,增城,3室/4室,建筑面积：76-127㎡,15500
华润置地润悦,[ 增城 朱村 ] 增城大道475号,增城,3室/4室,建筑面积：80-140㎡,20000
碧桂园凤凰城云顶,[ 增城 新塘 ] 广园快速新塘出口碧桂园凤凰城3环岛,增城,3室/4室,建筑面积：90-142㎡,28000
荔城·尚东【半山168】,[ 增城 荔城 ] 增城大道168号（21号线钟岗站C出口）,增城,别墅,建筑面积：232.13-506.71㎡,23000
香江天赋,[ 增城 广园东 ] 陈家林路159号,增城,3室/4室/5室,建筑面积：86.86-130㎡,23500
珠江·花屿花城,[ 增城 新塘 ] 新新大道中,增城,4室,建筑面积：79-96㎡,
敏捷绿湖首府,[ 增城 荔城 ] 增滩路,增城,2室/3室/4室,建筑面积：76-127㎡,14000
御溪世家,[ 增城 中新 ] 广州市增城区中新镇广汕路,增城,2室/3室/4室,建筑面积：61-99㎡,22000
越秀奥园华发·亲爱里,[ 增城 中新 ] 广州广河高速中新出口右转处,增城,3室/4室,建筑面积：78-101㎡,17000
时代风华（增城）,[ 增城 新塘 ] 新塘TOD·广园与荔新大道交汇处,增城,3室/4室,建筑面积：86-125㎡,24000
凯德·凯荔花园,[ 增城 荔城 ] 明慧路3号,增城,3室/4室,建筑面积：86-125㎡,
时代天汇,[ 增城 石滩 ] 增城区石顺大道622号,增城,3室,建筑面积：93-123㎡,16000
首创碧桂园悦山府,[ 增城 荔城 ] 广州市增城区狮尾路1号（荔城中学斜对...,增城,3室/4室,建筑面积：86-109㎡,17500
碧桂园中心,[ 增城 荔城 ] 广州东地铁21号线增城广场站万达旁,增城,3室/4室,建筑面积：107-328㎡,28000
中海联睿品,[ 增城 新塘 ] 民营大道东（新塘客运站南300米）,增城,3室/4室,建筑面积：74-107.5㎡,23000
创基天峰,[ 增城 荔城 ] 荔城街增城大道134号,增城,3室/4室,建筑面积：89-138㎡,19000
碧桂园金叶子,[ 增城 荔城 ] 白水寨景区,增城,商业,建筑面积：37-68㎡,13000
中国中铁·诺德梓悦台,[ 增城 荔城 ] 荔星大道北,增城,3室/4室,建筑面积：99-128㎡,21000
科慧花园,[ 增城 朱村 ] 广州地铁21号线凤岗站C出口,增城,4室/5室,建筑面积：118-205㎡,20000
融信天樾府,[ 增城 荔城 ] 荔城大道229号（增城区实验小学东侧）,增城,3室/4室,建筑面积：98-143㎡,22000
万科金色里程,[ 增城 新塘 ] 广州新塘东.济广高速与荔新公路交汇处,增城,3室,建筑面积：80-90㎡,16000
丰盛101,[ 增城 新塘 ] 广州市增城区新塘镇荔新大道97号,增城,2室/3室/4室,建筑面积：62-107㎡,170
合汇·璟园,[ 增城 石滩 ] 广州市增城区挂绿新城荔湖大道东合汇璟...,增城,别墅,建筑面积：215-260㎡,25000
峰尚九里,[ 增城 朱村 ] 中新镇中花路西50米,增城,3室/4室/5室,建筑面积：77-123㎡,18000
东江逸珑湾,[ 增城 新塘 ] 滨珑北二街6号,增城,2室/3室/4室,建筑面积：75-162㎡,18888
时代倾城（中新）,[ 增城 中新 ] 广州市增城区中新镇新墩路168号,增城,2室/3室,建筑面积：75-120㎡,20000
兰亭香麓,[ 增城 荔城 ] 广州东·增派大道（挂绿小学斜对面）,增城,3室,建筑面积：88-111㎡,
保利天际（增城）,[ 增城 新塘 ] 汽车城大道57号,增城,3室/4室,建筑面积：115-140㎡,28000
远洋招商保利东湾,[ 增城 朱村 ] 广汕公路燕岗桥东地铁21号线凤岗快线站...,增城,3室/4室,建筑面积：96-110㎡,24500
得天和苑,[ 增城 新塘 ] 新新大道北荔湖城站口,增城,3室/4室,建筑面积：89-120㎡,15000
东原印江澜,[ 增城 荔城 ] 广东省广州市增城区增江街增江小学西侧,增城,3室/4室,建筑面积：95-120㎡,
光大ONE+,[ 增城 永宁 ] 广州·国家级增城技术开发区（香山大道...,增城,,建筑面积：423962㎡,
合景臻湖誉园,[ 增城 荔城 ] 广州市增城区新城大道388号,增城,4室,建筑面积：123-143㎡,
大华城,[ 增城 朱村 ] 增城区朱村街东溪路1号,增城,2室/3室,建筑面积：78-98㎡,
新力·海石洲悦,[ 增城 新塘 ] 广园东路新塘出口陈家林路,增城,,建筑面积：571184㎡,
